org8code_year,Yr,org4code,org8code,DistName,4 Year Cohort Total,4 Year Graduation Percent,5 Year Cohort Total,5 Year Graduation Percent,Mass Core Completion Count,Mass Core Completion Percent,Chronic Absence Count,Chronic Absence Percent,College Enrollment Count,College Persistence Count,College Enrollment Percent,College Persistence Percent,Out of School Suspension Count,Out of School Suspension Percent,Passed All 9th Grade Courses Count,Passed All 9th Grade Courses Percent,Enrolled in AP/IB Course Count,Enrolled in AP/IB Course Percent
00180000_2011,2011,18,180000,Avon,46,84.8,46,89.1,Null,Null,Null,Null,40,40,62.5,52.5,Null,Null,Null,Null,Null,Null
00180000_2012,2012,18,180000,Avon,54,74.1,54,74.1,29,65.9,236,16.9,44,44,65.90909091,54.54545455,Null,Null,59,72.9,114,10
00180000_2013,2013,18,180000,Avon,55,94.5,55,94.5,53,100,220,11.4,53,53,69.81132075,64.1509434,222,4.5,60,65,102,11
00180000_2014,2014,18,180000,Avon,56,85.7,56,85.7,45,97.8,216,11.1,46,46,76.08695652,60.86956522,218,13.8,62,75.8,92,17
00180000_2015,2015,18,180000,Avon,45,88.9,45,88.9,41,100,211,16.6,41,41,70.73170732,65.85365854,214,11.2,56,75,94,18
00180000_2016,2016,18,180000,Avon,48,83.3,Null,Null,40,100,195,12.8,Null,Null,Null,Null,198,9.6,50,90,92,25
00190000_2011,2011,19,190000,Ayer,84,84.5,84,84.5,Null,Null,Null,Null,73,73,68.49315068,60.2739726,Null,Null,Null,Null,Null,Null
00200000_2011,2011,20,200000,Barnstable,404,80.2,404,82.9,Null,Null,Null,Null,346,346,65.31791908,52.02312139,Null,Null,Null,Null,Null,Null
00200000_2012,2012,20,200000,Barnstable,453,89.2,453,90.5,1,0.2,1687,20.7,417,417,68.34532374,58.27338129,Null,Null,397,73.8,825,30
00200000_2013,2013,20,200000,Barnstable,435,87.4,435,87.4,6,1.6,1645,20.9,379,379,70.9762533,60.94986807,1617,9.5,438,76.3,754,35
00200000_2014,2014,20,200000,Barnstable,408,87.3,408,87.3,0,0,1601,21,350,350,69.71428571,60.85714286,1576,11,385,75.6,741,40
